Model,Pretraining,L1 Corpus Size (Rows),L1 Learning Rate,L1 Epochs,L1 Per GPU Batch Size,Num Topics,L2 Learning Rate,L2 Epochs,L2 Per GPU Batch Size,L3 Adam Epsilon,L3 Learning Rate,L3 Epochs,L3 Per GPU Batch Size,F1 Train,F1 Dev
LSTM,No,,,,,,,,,,,,,,
CNN + Fully Connected,No,,,,,,,,,,,,,,
BERT,No,100000,1.00E-04,,,3,,,,1.00E-08,1.00E-04,4,8,"[0.5441734417344174, 0.7295392953929539, 0.870460704607046, 0.9531165311653117]","[0.6009732360097324, 0.6447688564476886, 0.6593673965936739, 0.6763990267639902]"
LSTM,L1 + L2,,,,,,,,,,,,,,
CNN + Fully Connected,L1 + L2,,,,,,,,,,,,,,
BERT,L1 + L2,100000,1.00E-04,4,8,3,1.00E-04,4,8,1.00E-08,1.00E-04,4,8,"[0.5200542005420055, 0.7162601626016261, 0.8490514905149051, 0.9384823848238483]","[0.6058394160583942, 0.6399026763990268, 0.6545012165450121, 0.6496350364963503]"
BERT,L1 + L2,100000,1.00E-04,4,8,3,1.00E-04,4,8,1.00E-08,2.00E-05,4,8,"[0.45420054200542004, 0.6398373983739838, 0.7355013550135501, 0.7899728997289973]","[0.5547445255474452, 0.6228710462287105, 0.6326034063260341, 0.6496350364963503]"
BERT,L1 + L2,100000,1.00E-04,4,8,3,1.00E-04,4,8,1.00E-08,2.00E-05,8,8,"[0.46178861788617886, 0.6582655826558266, 0.7615176151761518, 0.840379403794038, 0.8853658536585366, 0.9260162601626016, 0.943089430894309, 0.9560975609756097]","[0.5669099756690997, 0.6131386861313869, 0.6447688564476886, 0.6545012165450121, 0.6715328467153284, 0.6472019464720195, 0.6496350364963503, 0.6545012165450121]"
BERT,L1 + L2,100000,1.00E-04,4,8,3,1.00E-04,4,8,1.00E-09,2.00E-05,4,8,"[0.4644986449864499, 0.6422764227642277, 0.7368563685636856, 0.7924119241192411]","[0.5474452554744526, 0.6131386861313869, 0.6545012165450121, 0.656934306569343] "
BERT,L1,100000,2.00E-05,,,3,NA,NA,NA,1.00E-08,5.00E-05,4,8,"[0.4807588075880759, 0.6601626016260163, 0.751219512195122, 0.7981029810298103]","[0.5815085158150851, 0.635036496350365, 0.6545012165450121, 0.656934306569343]"
BERT,L1,100000,2.00E-05,,,3,NA,NA,NA,1.00E-09,2.00E-05,4,8,"[0.5289972899728997, 0.7208672086720868, 0.8523035230352304, 0.9254742547425474]","[0.559610705596107, 0.5985401459854015, 0.6180048661800487, 0.6374695863746959]"
